iter	Passed	Remaining
0	147	147658
1	149	74597
2	151	50412
3	152	37981
4	153	30622
5	156	25939
6	160	22717
7	163	20232
8	165	18274
9	168	16639
10	170	15292
11	173	14267
12	175	13325
13	176	12442
14	178	11708
15	179	11036
16	180	10436
17	181	9883
18	181	9391
19	182	8941
20	183	8535
21	183	8169
22	184	7833
23	185	7524
24	185	7238
25	186	6974
26	187	6741
27	187	6525
28	188	6316
29	189	6119
30	189	5934
31	190	5758
32	190	5593
33	191	5442
34	192	5297
35	192	5159
36	193	5027
37	193	4904
38	194	4786
39	194	4675
40	195	4568
41	195	4467
42	196	4370
43	196	4278
44	197	4189
45	197	4104
46	198	4023
47	198	3945
48	199	3870
49	199	3798
50	200	3729
51	201	3671
52	202	3613
53	203	3558
54	203	3501
55	204	3444
56	204	3389
57	205	3335
58	206	3287
59	206	3237
60	207	3189
61	207	3143
62	208	3098
63	208	3053
64	209	3010
65	209	2969
66	210	2928
67	210	2889
68	211	2851
69	211	2815
70	212	2779
71	212	2745
72	213	2711
73	214	2678
74	214	2646
75	215	2614
76	215	2583
77	216	2555
78	217	2533
79	218	2509
80	218	2482
81	219	2456
82	219	2428
83	220	2402
84	220	2377
85	221	2353
86	221	2328
87	222	2305
88	222	2282
89	223	2259
90	223	2237
91	224	2215
92	224	2194
93	225	2173
94	225	2152
95	226	2132
96	226	2112
97	227	2093
98	227	2074
99	228	2056
100	228	2038
101	229	2020
102	230	2003
103	230	1986
104	231	1973
105	232	1959
106	232	1943
107	233	1928
108	234	1913
109	234	1898
110	235	1883
111	235	1868
112	236	1854
113	236	1840
114	237	1826
115	237	1812
116	238	1797
117	238	1784
118	239	1771
119	239	1758
120	240	1746
121	240	1733
122	241	1720
123	241	1708
124	242	1696
125	242	1685
126	243	1673
127	243	1661
128	244	1650
129	244	1639
130	245	1627
131	245	1617
132	246	1607
133	247	1598
134	248	1589
135	248	1579
136	249	1569
137	249	1559
138	250	1549
139	250	1539
140	251	1529
141	251	1518
142	251	1509
143	252	1500
144	252	1491
145	253	1482
146	253	1473
147	254	1464
148	254	1456
149	255	1447
150	255	1439
151	256	1430
152	256	1422
153	257	1414
154	258	1406
155	258	1398
156	259	1390
157	259	1383
158	260	1376
159	260	1368
160	261	1360
161	261	1353
162	262	1346
163	263	1341
